stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrConf.keys,instrConf.rt,date,frameRate,expName,session,participant,
R,letter,7,24,283,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,7,25,284,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,7,26,285,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,7,27,286,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,7,28,287,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,7,29,288,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,7,30,289,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,7,31,290,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,7,32,291,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,7,33,292,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,7,34,293,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,7,35,294,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,7,36,295,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,8,0,296,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,8,1,297,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,8,2,298,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,8,3,299,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,8,4,300,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,8,5,301,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
